Number,Group,Stimulation.Index
43,KO-aPD1,2.49
44,Control-aPD1,3.11
46,KO-aPD1,2.21
47,KO-LCM,2.1
48,KO-LCM,1.23
49,Control-LCM,2.19
50,Control-LCM,3.18
37,KO-aPD1,3.27
38,Control-aPD1,2.73
39,Control-aPD1,4
40,KO-aPD1,2.62
53,Control-LCM,2.72
54,Control-LCM,3
55,KO-LCM,1.36
56,KO-LCM,1.32
59,KO-aPD1,1.95
60,Control-aPD1,3.44
73,KO-LCM,2.7
74,KO-LCM,1.38
77,Control-aPD1,4.1
78,KO-aPD1,2.73
80,Control-aPD1,3.79
63,Control-aPD1,2.91
64,KO-aPD1,1.31
65,KO-aPD1,2.95
66,Control-aPD1,2.8
67,Control-LCM,3.02
68,Control-LCM,3.16
69,KO-LCM,2.69
70,KO-LCM,2
42,Control-LCM,3.23
41,Control-LCM,2.5
