,alpha,beta,b,epsilon_spr,epsilon_end,chi
1,1.205452614,3.233222592,-0.196058581,0.983234517,0.979582387,2.223747936
2,1.412978154,12.19718316,-0.107359635,0.959694216,0.982638371,0.282595927
3,0.383953942,12.68473114,-0.172873902,0.998936138,0.700051404,0.007385645
4,0.300231179,8.0797751,0.665162162,0.867495043,0.988594288,4.687159614
5,0.190765806,6.884128585,0.460653574,0.81508271,0.942811912,3.296766045
6,25.07642261,1.754490402,-1.109766738,0.837507053,0.803545502,1.807930265
7,0.495139336,2.471424646,0.313405014,0.834374156,0.995080084,10.43460676
8,0.217346865,1.795154043,0.094745888,0.479462057,0.976040976,5.238281015
9,1.465785651,2.678660786,0.794495857,0.881226442,0.819592333,1.407198239
10,28.53858734,3.738028026,-0.467339825,0.972043753,0.994503311,4.176643676
11,0.001347651,6.526136621,-0.143023497,0.591076659,0.799336891,0.767155712
12,0.527990915,7.773532532,0.579633136,0.978582889,0.992013591,10.51594557
13,1.932734296,3.230792955,0.008675443,0.994079354,0.971989893,2.849866232
14,0.871903457,4.30705695,0.163978047,0.867759573,0.966949352,5.63483903
15,0.005584731,4.321800489,-0.25824537,0.554413055,0.993685533,0.630620169
16,0.021885929,3.055315994,0.482773854,0.956519895,0.854796073,3.812097627
17,0.212918317,9.824387647,-0.324108479,0.460561488,0.737258118,6.197818863
18,1.333810449,4.393077356,-0.108790772,0.94836565,0.99591005,6.998798799
19,0.704913057,3.107913907,-0.061842304,0.87514052,0.992112587,2.097306704
20,0.003036501,3.26167725,0.222290899,0.978500899,0.997208793,3.430272694
21,0.050529842,0.925435789,-1.553830822,0.544258208,0.99294669,2.471675344
22,1.015371384,1.735556993,-1.232680592,0.268753876,0.214070989,8.419057393
23,0.130917384,1.220369071,-1.241264168,0.456443326,0.500678769,2.589929567
24,0.703517035,15.2887551,0.397948636,0.898579597,0.978816351,1.043515219
25,0.11968367,0.721274873,-1.390288597,0.259416757,0.682282888,6.143717371
26,0.022674372,2.148564216,-0.352226579,0.996573669,0.993818766,1.887747529
27,0.129855512,4.500815725,0.76679514,0.987425795,0.989158225,9.850392634
