group,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
painting_H_bef,6.06,2191,0.651212232,0.26,8.2,2199,0.682345862,0.61,0.187744053,1.4328087,0.869016821,0.995789187,6.96,474.4899125,20.7002176,38,1.43,0.01
painting_H_aft,6.06,2191,0.680933133,0.26,8.2,2199,0.401715133,0.61,0.808406796,38.79576618,0.906889878,0.998703717,6.96,231.3984196,23.07313578,37,1.43,0.01
painting_Hc_bef,6.06,2191,0.197608435,0.26,8.2,2199,0.402912608,0.61,0.476309455,41.5463583,0.887294778,0.998784796,6.96,386.6701801,11.06292463,30,1.43,0.01
painting_Hc_aft,6.06,2191,0.566899276,0.26,8.2,2199,0.37080302,0.61,0.298664559,29.55457932,0.811028975,0.997777256,6.96,469.902736,51.83313172,38,1.43,0.01
painting_HL_bef,6.06,2191,0.210131357,0.26,8.2,2199,0.864870013,0.61,0.170492166,26.63696843,0.810077265,0.99896089,6.96,387.6640505,36.70192943,26,1.43,0.01
painting_HL_aft,6.06,2191,0.249891133,0.26,8.2,2199,0.335277082,0.61,0.534380629,13.06441474,0.871708417,0.998873297,6.96,230.6275582,26.82716466,50,1.43,0.01
painting_L_bef,6.06,2191,0.586375338,0.26,8.2,2199,0.600220119,0.61,0.524893729,71.55701165,0.822823503,0.997845353,6.96,283.349701,25.82464189,13,1.43,0.01
painting_L_aft,6.06,2191,0.570416133,0.26,8.2,2199,0.62688306,0.61,0.619694396,61.96513004,0.832391873,0.997920579,6.96,221.4855503,20.73607418,17,1.43,0.01
painting_Lc_bef,6.06,2191,0.586802145,0.26,8.2,2199,0.553288187,0.61,0.728201984,76.61181255,0.862722698,0.998310844,6.96,435.6017284,34.97507543,32,1.43,0.01
painting_Lc_aft,6.06,2191,0.662332239,0.26,8.2,2199,0.216947251,0.61,0.402414265,1.630325338,0.813366616,0.997757971,6.96,394.3578568,33.04316472,44,1.43,0.01
painting_LH_bef,6.06,2191,0.335777769,0.26,8.2,2199,0.485787935,0.61,0.543990439,2.822926027,0.866797393,0.998350797,6.96,382.0157044,48.09798204,37,1.43,0.01
painting_LH_aft,6.06,2191,0.546458335,0.26,8.2,2199,0.875312731,0.61,0.706405024,24.98149082,0.868649929,0.996710242,6.96,409.5148012,49.5913351,25,1.43,0.01
quote_H_bef,6.06,2191,0.130324837,0.26,8.2,2199,0.647183478,0.61,0.33807788,38.68102938,0.982907203,0.998994576,6.96,95.57397138,22.63426099,35,1.43,0.01
quote_H_aft,6.06,2191,0.328462788,0.26,8.2,2199,0.416360077,0.61,0.825741113,15.60391981,0.986974436,0.9982309,6.96,482.3882313,30.60656302,21,1.43,0.01
quote_Hc_bef,6.06,2191,0.512850261,0.26,8.2,2199,0.918209745,0.61,0.274833025,97.56350621,0.889878147,0.998512144,6.96,277.6969231,45.5560387,38,1.43,0.01
quote_Hc_aft,6.06,2191,0.615932563,0.26,8.2,2199,0.038023152,0.61,0.862878803,16.23049797,0.815405286,0.993740919,6.96,150.0789803,44.68379319,21,1.43,0.01
quote_HL_bef,6.06,2191,0.246060145,0.26,8.2,2199,0.255482005,0.61,0.371211863,12.87249195,0.845601556,0.998422909,6.96,105.0356439,13.19283888,24,1.43,0.01
quote_HL_aft,6.06,2191,0.201591993,0.26,8.2,2199,0.359973295,0.61,0.152835363,1.240752187,0.827101654,0.992808651,6.96,474.3600479,9.874656844,5,1.43,0.01
quote_L_bef,6.06,2191,0.378240035,0.26,8.2,2199,0.186909346,0.61,0.261835217,19.62653748,0.868897728,0.997451792,6.96,479.5138787,41.58678832,14,1.43,0.01
quote_L_aft,6.06,2191,0.457746939,0.26,8.2,2199,0.980336005,0.61,0.454735485,71.0981584,0.885787686,0.998359305,6.96,381.8721912,38.10741513,42,1.43,0.01
quote_Lc_bef,6.06,2191,0.535264191,0.26,8.2,2199,0.729740521,0.61,0.4162036,95.0931231,0.837138135,0.996234607,6.96,81.59257308,43.6515926,15,1.43,0.01
quote_Lc_aft,6.06,2191,0.654638726,0.26,8.2,2199,0.402477968,0.61,0.135540272,18.59213214,0.897283586,0.995477473,6.96,425.8980351,43.30205177,15,1.43,0.01
quote_LH_bef,6.06,2191,0.571305767,0.26,8.2,2199,0.628937107,0.61,0.774741972,88.78481886,0.807272684,0.998447845,6.96,493.0501291,25.65402216,14,1.43,0.01
quote_LH_aft,6.06,2191,0.188817027,0.26,8.2,2199,0.625888846,0.61,0.689530393,93.64478788,0.821940235,0.997934202,6.96,415.1536662,38.40697271,12,1.43,0.01
